scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/typechecker/RefChecks$RefCheckTransformer::register$1,7744
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/tools/nsc/transform/LambdaLift$LambdaLifter::transformStats,25744
scala/collection/immutable/$colon$colon::head()Ljava/lang/Object; from sbt/internal/Load$::loadAll,3
scala/collection/immutable/List::map(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/Scope$::topologicalSort,34752
scala/collection/mutable/HashSet::filter(Lscala/Function1;)Ljava/lang/Object; from scala/tools/nsc/PhaseAssembly$DependencyGraph::$anonfun$validateAndEnforceHardlinks$4,82
scala/collection/TraversableOnce::foreach(Lscala/Function1;)V from scala/tools/nsc/typechecker/ContextErrors$InferencerContextErrors::allTypes$1,8
scala/collection/mutable/ArrayOps$ofChar::<init>([C)V from scala/reflect/internal/util/BatchSourceFile::isEndOfLine,3312
scala/collection/mutable/Set$::empty()Lscala/collection/mutable/Set; from scala/tools/nsc/transform/Constructors$OmittablesHelper::computeOmittableAccessors,1242
scala/collection/immutable/List$::ReusableCBF()Lscala/collection/generic/GenTraversableFactory$GenericCanBuildFrom; from scala/tools/nsc/transform/Delambdafy$DelambdafyTransformer::mkLambdaMetaFactoryCall,617
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/transform/ExtensionMethods$Extender::$anonfun$transform$8,82
scala/collection/immutable/$colon$colon::<init>(Ljava/lang/Object;Lscala/collection/immutable/List;)V from scala/reflect/internal/Types::typeParamsToExistentials,2974
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/reflect/internal/Types::symTypeDepth,2317
scala/collection/immutable/$colon$colon::head()Ljava/lang/Object; from scala/tools/nsc/typechecker/Checkable::scala$tools$nsc$typechecker$Checkable$$typeArgsInTopLevelType,12
scala/collection/Seq$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from xsbt/api/Discovery::bases,216
scala/collection/immutable/List$::unapplySeq(Lscala/collection/Seq;)Lscala/Some; from scala/tools/nsc/transform/LambdaLift$LambdaLifter::postTransform,5
scala/collection/immutable/Map::getOrElse(Ljava/lang/Object;Lscala/Function0;)Ljava/lang/Object; from scala/tools/nsc/transform/patmat/MatchAnalysis$MatchAnalyzer$VariableAssignment$4$::$anonfun$unique$2,8
scala/collection/immutable/Map::keys()Lscala/collection/Iterable; from sbt/internal/util/logic/Logic$$anon$1::nodes,3
scala/collection/Traversable::foreach(Lscala/Function1;)V from scala/tools/nsc/transform/patmat/Solving$Solver::findTseitinModelFor,598
scala/collection/Parallelizable::$init$(Lscala/collection/Parallelizable;)V from scala/reflect/internal/Scopes$Scope::<init>,172696
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/transform/patmat/MatchOptimization$CommonSubconditionElimination$ReusingCondTreeMaker::localSubstitution$lzycompute,66
scala/collection/TraversableLike::map(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/internal/BuildUtil::$anonfun$configurationsForAxis$1,17
scala/collection/mutable/HashMap$::apply(Lscala/collection/Seq;)Lscala/collection/GenMap; from scala/tools/nsc/transform/Erasure$ComputeBridges::<init>,1159
scala/collection/immutable/List::isEmpty()Z from scala/reflect/internal/TreeGen::mkTemplate,2567
scala/collection/immutable/List::length()I from scala/reflect/internal/TreeGen::mkTuple,274
scala/collection/IndexedSeqOptimized::splitAt(I)Lscala/Tuple2; from scala/reflect/internal/util/StripMarginInterpolator::stripTrailingPart$1,460
scala/collection/immutable/List::collect(Lscala/PartialFunction;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from scala/tools/nsc/typechecker/SyntheticMethods::equalsCore$1,194
scala/collection/immutable/List$::apply(Lscala/collection/Seq;)Lscala/collection/immutable/List; from scala/tools/nsc/transform/UnCurry$UnCurryTransformer::$anonfun$transformArgs$2,2
scala/collection/IndexedSeqOptimized::length()I from scala/tools/nsc/transform/patmat/Solving$Solver::dropUnit,2789
scala/collection/Seq::flatten(Lscala/Function1;)Lscala/collection/GenTraversable; from sbt/Classpaths$::$anonfun$interDependencies$3,12
scala/collection/Iterable::iterator()Lscala/collection/Iterator; from scala/xml/NodeBuffer::$amp$plus,12
scala/collection/Seq::$plus$plus(Lscala/collection/GenTraversableOnce;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/internal/SessionSettings::appendRaw,3
scala/collection/immutable/List$::ReusableCBF()Lscala/collection/generic/GenTraversableFactory$GenericCanBuildFrom; from scala/reflect/internal/Trees$TreeContextApiImpl::children,203
scala/collection/Iterable::$init$(Lscala/collection/Iterable;)V from scala/reflect/internal/Scopes$Scope::<init>,172696
scala/collection/immutable/List::$colon$colon$colon(Lscala/collection/immutable/List;)Lscala/collection/immutable/List; from scala/tools/nsc/transform/patmat/MatchTranslation$MatchTranslator$BoundTree::translate,3823
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/tools/nsc/Global$Run::compileUnitsInternal,192
scala/collection/immutable/List::$colon$colon(Ljava/lang/Object;)Lscala/collection/immutable/List; from scala/reflect/internal/tpe/TypeMaps$AsSeenFromMap::$anonfun$captureSkolems$2,138
scala/collection/immutable/List::$colon$colon(Ljava/lang/Object;)Lscala/collection/immutable/List; from scala/reflect/internal/tpe/TypeMaps$FilterTypeCollector::traverse,157207
scala/collection/Iterator::toSet()Lscala/collection/immutable/Set; from scala/tools/nsc/typechecker/Implicits$Message::validate,2
scala/collection/immutable/Set::apply(Ljava/lang/Object;)Z from sbt/internal/util/MRelation::contains,1
scala/collection/LinearSeqOptimized::tail()Ljava/lang/Object; from scala/tools/nsc/transform/Fields$FieldsTransformer::transformStats,2963
scala/collection/immutable/Map::toSeq()Lscala/collection/Seq; from sbt/internal/BuildStructure::allProjectRefs,1
scala/collection/immutable/List$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/typechecker/Typers$Typer::shapeType$1,23
scala/collection/immutable/Set::apply(Ljava/lang/Object;)Z from scala/tools/nsc/typechecker/SuperAccessors$SuperAccTransformer::transformSelect$1,1235
scala/collection/immutable/List::$colon$colon$colon(Lscala/collection/immutable/List;)Lscala/collection/immutable/List; from sbt/Plugins$::doSort$1,9
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/tools/nsc/transform/Mixin$MixinTransformer::$anonfun$addNewDefs$2,760
scala/collection/immutable/Map$::empty()Lscala/collection/immutable/Map; from sbt/internal/inc/ExternalDependencies$::empty,2
scala/collection/Seq::partition(Lscala/Function1;)Lscala/Tuple2; from sbt/internal/inc/MixedAnalyzingCompiler::compile,1
scala/collection/immutable/List$::ReusableCBF()Lscala/collection/generic/GenTraversableFactory$GenericCanBuildFrom; from scala/tools/nsc/transform/AccessorSynthesis$AccessorTreeSynthesis$UncheckedAccessorSynth::implementWithNewDefs,1362
scala/collection/Seq$::apply(Lscala/collection/Seq;)Lscala/collection/GenTraversable; from sbt/internal/inc/CompilerArguments::apply,1
scala/collection/immutable/$colon$colon::tl$access$1()Lscala/collection/immutable/List; from scala/tools/reflect/FastTrack$$anonfun$$nestedInanonfun$fastTrackCache$1$1::applyOrElse,65
scala/collection/immutable/List::withFilter(Lscala/Function1;)Lscala/collection/generic/FilterMonadic; from scala/tools/nsc/typechecker/Typers$Typer::typedExistentialTypeTree,554
scala/collection/immutable/List::contains(Ljava/lang/Object;)Z from scala/tools/nsc/typechecker/Implicits::$anonfun$inferImplicit$2,75
scala/collection/LinearSeqOptimized::apply(I)Ljava/lang/Object; from scala/reflect/internal/TreeGen::mkTupleType,81
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/tools/nsc/transform/patmat/Interface$TypedSubstitution$Substitution::$greater$greater,1023
scala/collection/immutable/List::nonEmpty()Z from scala/reflect/ClassManifestDeprecatedApis::argString,3
scala/collection/immutable/List::$colon$colon(Ljava/lang/Object;)Lscala/collection/immutable/List; from scala/tools/nsc/typechecker/NamesDefaults::transformNamedApplication,372
scala/collection/mutable/HashMap::get(Ljava/lang/Object;)Lscala/Option; from sbt/internal/inc/AnalysisCallback::binaryDependency,15183
scala/collection/immutable/$colon$colon::tl_$eq(Lscala/collection/immutable/List;)V from scala/tools/nsc/transform/ExtensionMethods$Extender::transform,35
scala/collection/immutable/Vector::$plus$plus(Lscala/collection/GenTraversableOnce;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/librarymanagement/ConfigurationExtra::extend,6
scala/collection/immutable/$colon$colon::<init>(Ljava/lang/Object;Lscala/collection/immutable/List;)V from scala/tools/nsc/transform/patmat/MatchTreeMaking$TreeMakers::combineCases,2645
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/reflect/internal/TypeDebugging::typeParamsString,20
scala/collection/immutable/List::isEmpty()Z from xsbt/ExtractAPI::$anonfun$mkAnnotations$1,13083
scala/collection/immutable/List$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/Global$Run::<init>,4
scala/collection/mutable/HashSet::contains(Ljava/lang/Object;)Z from scala/tools/nsc/transform/UnCurry$UnCurryTransformer::mainTransform,46
scala/collection/LinearSeqOptimized::head()Ljava/lang/Object; from scala/reflect/internal/Types$GenPolyType$::apply,948
scala/collection/immutable/Range::step()I from scala/tools/nsc/symtab/classfile/ClassfileParser::queueLoad$1,11194
scala/collection/mutable/Map::update(Ljava/lang/Object;Ljava/lang/Object;)V from scala/tools/nsc/typechecker/Duplicators$BodyDuplicator::invalidate,135
scala/collection/mutable/HashMap::apply(Ljava/lang/Object;)Ljava/lang/Object; from scala/reflect/internal/SymbolPairs$Cursor::$anonfun$init$4,23101
scala/collection/immutable/Map$::apply(Lscala/collection/Seq;)Lscala/collection/GenMap; from scala/tools/nsc/transform/Mixin$MixinTransformer::lazyValNullables,1145
scala/collection/immutable/StringOps::r()Lscala/util/matching/Regex; from xsbt/boot/CrossVersionUtil$::<init>,1
scala/collection/mutable/HashMap::apply(Ljava/lang/Object;)Ljava/lang/Object; from scala/reflect/internal/SymbolPairs$Cursor::$anonfun$init$2,6959
scala/collection/immutable/List::apply(I)Ljava/lang/Object; from scala/tools/nsc/typechecker/Macros::$anonfun$standardMacroArgs$8,4
scala/collection/immutable/List::isEmpty()Z from scala/tools/nsc/transform/SpecializeTypes::checkOverriddenTParams$1,131
scala/collection/immutable/StringOps::<init>(Ljava/lang/String;)V from scala/tools/nsc/Reporting$PerRunReporting$ConditionalWarning::$anonfun$summarize$2,6
scala/collection/immutable/List::apply(I)Ljava/lang/Object; from scala/tools/nsc/typechecker/Macros::$anonfun$standardMacroArgs$6,3
scala/collection/TraversableOnce::toSet()Lscala/collection/immutable/Set; from sbt/Plugins$::$anonfun$deducer$9,9
scala/collection/immutable/Map$::apply(Lscala/collection/Seq;)Lscala/collection/GenMap; from sbt/Help$::apply,21
